filename,genre
m00003.wav,metal
m00012.wav,metal
m00013.wav,
m00043.wav,metal
m00044.wav,classical
m00055.wav,pop
m00061.wav,metal
m00063.wav,metal
m00069.wav,
m00074.wav,
m00107.wav,pop
m00114.wav,pop
m00127.wav,
m00137.wav,pop
m00139.wav,pop
m00148.wav,pop
m00149.wav,metal
m00156.wav,classical
m00183.wav,metal
m00211.wav,metal
m00218.wav,pop
m00228.wav,pop
m00247.wav,metal
m00254.wav,metal
m00266.wav,classical
m00289.wav,metal
m00292.wav,
m00293.wav,metal
m00309.wav,
m00318.wav,metal
m00321.wav,pop
m00323.wav,
m00324.wav,
m00331.wav,
m00348.wav,metal
m00355.wav,pop
m00356.wav,metal
m00357.wav,pop
m00359.wav,metal
m00363.wav,pop
m00371.wav,pop
m00372.wav,metal
m00391.wav,metal
m00393.wav,pop
m00399.wav,pop
m00405.wav,pop
m00414.wav,
m00434.wav,
m00463.wav,classical
m00468.wav,
m00487.wav,pop
m00495.wav,classical
m00515.wav,pop
m00528.wav,pop
m00537.wav,
m00538.wav,
m00549.wav,
m00555.wav,pop
m00560.wav,
m00570.wav,pop
m00571.wav,
m00576.wav,pop
m00581.wav,metal
m00582.wav,
m00589.wav,
m00597.wav,classical
m00610.wav,metal
m00616.wav,pop
m00624.wav,
m00635.wav,
m00685.wav,pop
m00705.wav,
m00708.wav,pop
m00719.wav,pop
m00730.wav,metal
m00733.wav,pop
m00736.wav,
m00755.wav,pop
m00756.wav,classical
m00791.wav,pop
m00806.wav,metal
m00812.wav,metal
m00817.wav,pop
m00824.wav,pop
m00828.wav,pop
m00829.wav,pop
m00833.wav,pop
m00838.wav,
m00843.wav,pop
m00852.wav,metal
m00873.wav,
m00921.wav,
m00927.wav,metal
m00928.wav,
m00941.wav,
m00947.wav,pop
m00949.wav,
m00950.wav,pop
m00961.wav,metal
m00967.wav,classical
m00971.wav,
m00973.wav,pop
m00988.wav,pop
m00991.wav,classical
m00995.wav,
